0.000000,0.000000,0.000000
0.297080,-0.041752,-8.000000
0.597080,-0.041752,0.000000
0.894161,0.000000,8.000000
1.194161,0.000000,0.000000
1.491241,0.041752,8.000000
1.791241,0.041752,0.000000
2.088322,0.000000,-8.000000
2.376700,-0.082691,-16.000000
2.650764,-0.204712,-24.000000
2.905178,-0.363688,-32.000000
3.179242,-0.485709,-24.000000
3.467620,-0.568400,-16.000000
3.764701,-0.610152,-8.000000
4.053079,-0.692843,-16.000000
4.350160,-0.734595,-8.000000
4.650160,-0.734595,0.000000
4.947240,-0.692843,8.000000
5.246509,-0.671916,4.000000
5.545779,-0.692843,-4.000000
5.845048,-0.671916,4.000000
6.144317,-0.650989,4.000000
6.443586,-0.671916,-4.000000
6.742855,-0.692843,-4.000000
7.042855,-0.692843,0.000000
7.339936,-0.651091,8.000000
7.639205,-0.630164,4.000000
7.939205,-0.630164,0.000000
8.236286,-0.588413,8.000000
8.533366,-0.546661,8.000000
8.826810,-0.484287,12.000000
9.123891,-0.442535,8.000000
9.423891,-0.442535,0.000000
9.720971,-0.484287,-8.000000
10.009350,-0.566978,-16.000000
10.283413,-0.688999,-24.000000
10.537828,-0.847975,-32.000000
10.767641,-1.040811,-40.000000
10.968380,-1.263755,-48.000000
11.136138,-1.512466,-56.000000
11.267649,-1.782104,-64.000000
11.360354,-2.067421,-72.000000
11.412449,-2.362864,-80.000000
11.422919,-2.662681,-88.000000
11.391560,-2.961037,-96.000000
11.318984,-3.252126,-104.000000
11.206602,-3.530281,-112.000000
11.056602,-3.790089,-120.000000
10.944220,-4.068244,-112.000000
10.794220,-4.328052,-120.000000
10.681838,-4.606207,-112.000000
10.531838,-4.866014,-120.000000
10.419456,-5.144170,-112.000000
10.346879,-5.435258,-104.000000
10.315521,-5.733615,-96.000000
10.325990,-6.033432,-88.000000
10.294632,-6.331789,-96.000000
10.305102,-6.631606,-88.000000
10.357196,-6.927048,-80.000000
11.100000,-7.300000,0.000000
